  x      sigx     y      sigy  
-11.4555 0.0688 -10.5554 0.1487 
-11.4455 0.0705 -10.5770 0.1354 
-11.4679 0.0734 -10.5946 0.1386 
-11.1571 0.1078 -10.7262 0.1926 
-11.0924 0.1075 -10.3854 0.2020 
-11.1003 0.1039 -10.3213 0.1970 
-11.1226 0.1013 -10.3343 0.1965 
-11.1240 0.0999 -10.3570 0.1972 
-11.1390 0.0735 -10.5187 0.1938 
-11.2503 0.0682 -10.5555 0.2051 
-11.0898 0.1086 -10.0662 0.1963 
-11.1007 0.1067 -10.0983 0.1946 
-11.1431 0.0991 -10.1292 0.1924 
-11.1928 0.0950 -10.1595 0.1919 
-9.8789 0.1083 -10.1091 0.1069 
-10.0385 0.1081 -10.1777 0.1009 
-10.2617 0.1076 -10.1620 0.1160 
-10.3319 0.1075 -10.1868 0.1211 
-10.5336 0.1067 -10.1255 0.0935 
-10.6431 0.1062 -10.1265 0.1017 
-10.7430 0.1056 -10.1465 0.0924 
-10.8680 0.1045 -10.1610 0.0918 
-11.0657 0.1029 -10.1986 0.0911 
-11.1907 0.1016 -10.2424 0.0909 
-11.4588 0.1002 -10.3644 0.0925 
-11.2563 0.0715 -10.5537 0.2796 
-11.2985 0.0682 -10.6073 0.2746 
-11.3297 0.0679 -10.6441 0.2735 
-11.4109 0.0689 -10.7044 0.2732 
-11.5418 0.0692 -10.7750 0.2733 
-10.9313 0.1081 -10.2940 0.1042 
-11.0465 0.1071 -10.2576 0.0974 
-11.1083 0.1053 -10.2765 0.1058 
-11.1411 0.1028 -10.3258 0.0939 
-11.1595 0.0995 -10.3727 0.0933 
-11.1927 0.0953 -10.4053 0.0927 
-11.2088 0.0908 -10.4392 0.0923 
-11.2407 0.0855 -10.4725 0.0920 
-11.2436 0.0813 -10.5030 0.0917 
-11.2407 0.0777 -10.5329 0.0924 
-11.2423 0.0747 -10.5656 0.0914 
-11.2490 0.0725 -10.5923 0.0943 
-11.5510 0.1159 -10.7262 0.1322 
-11.6117 0.1173 -10.5700 0.1429 
