table
Name          RA        Dec      Vh
I5378S        0.016666666666666666  16.365000000000002  91.24285714285715
00002+1837    0.05  18.609166666666667  112.6
00005+0356    0.09708333333333334  3.9299999999999997  124.18571428571428
00005+1836    0.125  18.6  112.77142857142857
00006-0211    0.13333333333333333  -4.4752777777777775  104.61428571428571
00006+3045    0.14166666666666666  30.761111111111113  68.52857142857142
00006+2142    0.14833333333333334  21.68166666666667  94.28571428571429
00006+2454    0.15  24.9  110.75714285714285
I5381         0.15666666666666668  15.687222222222223  160.44285714285715
N7814         0.17125  15.8675  15.0
00007+0320    0.175  3.3333333333333335  114.41428571428571
00008+0820N   0.21791666666666665  8.341666666666667  170.02857142857144
00009+0525    0.225  5.416666666666667  88.4
00009+1628    0.225  16.466666666666665  89.92857142857143
00009+2705    0.23  27.072777777777777  109.85714285714286
00010+2256    0.255  22.921944444444446  103.27142857142857
00012+1555    0.3  15.916666666666666  91.6
N7816         0.31333333333333335  7.200833333333334  74.87142857142857
N7817         0.35375  20.471666666666664  33.0
N7818         0.4  7.083333333333333  88.58571428571429
00017+1030    0.41208333333333336  10.512222222222222  112.67142857142858
00017+2219    0.425  22.316666666666666  63.457142857142856
N7819         0.45958333333333334  31.19388888888889  70.82857142857142
00019+4713    0.4666666666666667  47.21194444444445  75.27142857142857
00019+0534    0.475  5.566666666666666  44.542857142857144
N7820         0.48624999999999996  4.920277777777778  43.77142857142857
00020+2802    0.5  28.033333333333335  125.5
00022+2633    0.55  26.55  108.14285714285714
00023-0146    0.5625  -2.8902777777777775  101.57142857142857
00023-0151    0.575  -2.8166666666666664  101.98571428571428
00023+1655    0.5758333333333333  16.913888888888888  14.771428571428572
00025+0451    0.625  4.85  75.64285714285714
N7824         0.6341666666666667  6.642499999999999  87.62857142857143
N7825         0.65  4.933333333333334  115.77142857142857
00027+0630    0.6670833333333333  6.493333333333333  89.87142857142857
00029+4616    0.7204166666666667  46.265277777777776  71.14285714285714
00029+0454    0.725  4.9  83.2
N7827         0.725  4.95  75.62857142857143
00028+3215    0.7266666666666667  32.25277777777778  148.88571428571427
00032+2710    0.8  27.166666666666668  107.58571428571429
00036+5416    0.9095833333333334  54.251666666666665  79.82857142857142
A0003+1955    0.9379166666666667  19.924166666666668  110.42857142857143
00038+1709S   0.9466666666666667  17.15138888888889  77.82857142857142
00038+1709N   0.9483333333333335  17.15888888888889  78.71428571428571
N7834         1.025  8.083333333333334  74.72857142857143
00041+2553    1.0291666666666666  25.87777777777778  107.88571428571429
00042+0450    1.05  4.833333333333333  76.68571428571428
00043+1902    1.0666666666666667  19.04277777777778  112.77142857142857
00042+0821    1.0670833333333334  8.3525  75.1
N   1         1.1720833333333334  27.430555555555557  64.92857142857143
N   2         1.1770833333333333  27.40111111111111  107.85714285714286
N   3         1.1779166666666667  8.023055555555556  55.714285714285715
N7831         1.1854166666666668  32.330000000000005  72.45714285714286
00049+4646    1.2  46.7625  75.38571428571429
00049+4643    1.2041666666666666  46.71027777777778  72.81428571428572
00051+2518    1.275  25.3  100.77142857142857
00052+4036    1.285  40.596944444444446  3.9
N   5         1.3074999999999999  35.08416666666667  71.55714285714286
00053+2008    1.325  20.133333333333333  112.35714285714286
00053+3927    1.3283333333333331  39.43944444444444  190.2
N7836         1.3608333333333333  32.79222222222222  70.05714285714286
00055+0926    1.3804166666666664  9.435833333333333  91.75714285714285
00056+2644    1.3970833333333332  26.725277777777777  124.87142857142857
00056+0730    1.4  7.5  169.22857142857143
00056+2715    1.409166666666667  27.253888888888888  66.25714285714285
00059+0956    1.475  9.933333333333334  91.95714285714286
00059+1752    1.4891666666666665  17.884444444444444  180.4
00061-0100    1.5166666666666666  -3.651388888888889  170.34285714285716
N  11         1.5295833333333335  37.169444444444444  62.7
N  12         1.5454166666666667  4.334722222222222  56.3
N  14         1.55  15.536944444444444  12.357142857142858
N  13         1.5533333333333332  33.155833333333334  68.68571428571428
N   9         1.58375  23.540000000000003  64.68571428571428
N  15         1.6108333333333333  21.35  90.45714285714286
N  16         1.6237500000000002  27.452222222222222  43.44285714285714
00069+4705    1.7175000000000002  47.07777777777778  73.61428571428571
00070+4751    1.7349999999999999  47.85722222222223  76.97142857142858
N  20         1.7395833333333333  33.03138888888889  70.01428571428572
00071+4934    1.775  49.56027777777778  142.28571428571428
00072+2805    1.8  28.083333333333332  118.78571428571429
N  22         1.8050000000000002  27.551944444444445  118.74285714285715
00073+2631    1.8179166666666664  26.511944444444445  246.07142857142858
00073+0425    1.825  4.416666666666667  57.42857142857143
N  23         1.8275000000000001  25.645  65.22857142857143
00074+2756W   1.8604166666666666  27.93138888888889  116.68571428571428
00077+3150    1.925  31.833333333333332  276.7142857142857
N  26         1.9637499999999999  25.554444444444446  65.61428571428571
N  27         1.990416666666667  28.719166666666666  100.47142857142858
00080+1619    2.0  16.316666666666666  149.02857142857144
N  21         2.024583333333333  32.705000000000005  68.4
00081-0019    2.025  -2.35  166.11428571428573
00081+3535    2.0262499999999997  35.57472222222223  87.98571428571428
00082+2818    2.0341666666666667  28.28611111111111  123.58571428571429
N  29         2.0479166666666666  33.07333333333334  68.14285714285714
00083+2517    2.075  25.283333333333335  146.15714285714284
00084+2947    2.1  29.783333333333335  97.01428571428572
00085+0224    2.175  2.4  182.17142857142858
00087+2838    2.175  28.633333333333333  114.94285714285714
N  36         2.2016666666666667  6.111666666666666  86.65714285714286
00091+2042    2.2829166666666665  20.69638888888889  198.57142857142858
00092+2814    2.29  28.221666666666664  114.88571428571429
00092+3250    2.3  32.833333333333336  200.82857142857142
00094+2607    2.35  26.116666666666667  64.42857142857143
00096+2738    2.390416666666667  27.633333333333333  107.01428571428572
00096+1146    2.4  11.766666666666667  90.6
I   3         2.4  -2.0  77.37142857142857
00097+2203    2.4195833333333336  22.04388888888889  108.98571428571428
N  39         2.4316666666666666  30.784166666666668  69.38571428571429
00101+0514    2.5050000000000003  5.222777777777778  121.05714285714286
00102+3306    2.55  33.1  67.94285714285714
N  41         2.55  21.766666666666666  84.98571428571428
N  42         2.575  21.833333333333332  85.44285714285714
00104+3858    2.5995833333333334  38.968333333333334  65.9
N  43         2.604583333333333  30.637777777777778  68.35714285714286
00104+1408    2.6179166666666664  14.132777777777779  29.02857142857143
00105+1814    2.625  18.233333333333334  178.61428571428573
00107+1645    2.6758333333333337  16.755  12.2
00108+2806    2.7  28.1  104.81428571428572
I   4         2.7183333333333337  17.20722222222222  71.48571428571428
00110+4825    2.7675  48.4175  74.1
00111+2955    2.7816666666666663  29.916666666666668  102.11428571428571
I1534         2.7816666666666663  47.87305555555555  74.62857142857143
00113+0326    2.825  3.4333333333333336  168.6
I1535         2.8308333333333335  47.88  74.72857142857143
00113+3037    2.8370833333333336  30.605  67.64285714285714
00114+1242    2.85  12.7  23.8
N  48         2.8504166666666664  47.95666666666667  25.37142857142857
00116+2816    2.9  28.266666666666666  102.0
N  49         2.9350000000000005  47.968333333333334  68.2
00118+2814    2.95  28.233333333333334  103.3
N  51         2.985833333333333  47.9775  76.44285714285714
00120-0100    2.992083333333333  -3.651388888888889  56.47142857142857
N  52         3.021666666666667  18.3075  77.02857142857142
00123+2603    3.081666666666666  26.052777777777777  105.0
00124+1633    3.095416666666667  16.559166666666666  243.0
N  57         3.232916666666667  17.04888888888889  77.97142857142858
00131+2710    3.275  27.166666666666668  106.9
00131+2923    3.275  29.383333333333333  95.85714285714286
00132+1930    3.3  19.5  91.6
00132+1944    3.3  19.733333333333334  110.3
00132+1548    3.318333333333334  15.811388888888889  60.18571428571428
N  60         3.35  -2.1  168.65714285714284
00136+1003    3.4  10.05  74.85714285714286
00138+2842    3.45  28.7  104.67142857142858
00138+3006    3.45  30.1  89.3
