z ra dec
0.0835887 24.1701343 18.7491446
0.0850443 25.1198689 20.5558145
0.0853648 25.3715028 20.1049909
0.0851385 15.7975747 13.1644476
0.0889011 11.8855064 23.4444857
0.0932939 12.1529884 26.3690377
0.0932696 12.1651860 26.3841696
0.0931428 12.0751908 26.8779656
0.0930574 13.7657709 30.6349715
0.0816429 28.9416916 2.8833272
0.0837029 28.3199389 1.2510022
0.0856438 29.0506386 1.3730188
0.0792344 28.8859706 1.8219274
0.0792097 28.9463661 1.8274380
0.0919343 31.3135991 25.8302724
0.0961342 28.2992626 30.6510549
0.0836893 19.7026696 5.1807975
0.0849087 17.2800088 12.4018582
0.0913261 20.1694283 21.3075761
0.0875456 21.1516696 4.6869978
0.0858768 25.6444987 1.9205636
0.0850729 24.3117358 4.6103676
0.0862959 23.9320687 5.3737998
0.0847701 23.0393797 10.8318584
0.0914115 26.0269264 8.0529719
0.0909265 25.5602280 9.6006851
0.0909074 25.5532648 9.5649477
0.0921483 29.4378530 14.8797676
0.0920582 29.4217384 14.8412617
0.1015962 25.4342156 27.6318509
0.0493232 9.4216978 29.7342485
0.0471137 18.6263690 19.2614925
0.0498497 13.7797173 27.7106339
0.0503784 14.8476937 27.5870003
0.0569278 20.5026268 31.8241373
0.0569348 20.5946707 31.8780269
0.0547877 21.0949378 35.8076207
0.0476557 8.3394649 11.4986383
0.0559004 8.1221990 27.5178147
0.0570488 7.3442558 28.4931628
0.0628868 2.6449929 33.6184024
0.0684407 3.0368131 42.5323049
0.0683894 3.0888618 42.5548757
0.0683988 3.0720401 42.5228548
0.0536708 31.6374961 3.5428706
0.0473170 9.3961943 10.2795296
0.0547555 12.7033874 29.6182958
0.0560047 15.4219468 27.4791875
0.0525501 35.8509446 6.9713916
0.0576134 39.6949651 19.5165830
0.0584279 33.7901183 19.9764166
0.0718868 35.1745575 40.8274892
0.0573511 22.7061020 1.3003902
0.0585940 3.4250780 12.5786446
0.0617030 1.1759341 13.6851083
0.0611972 1.7307680 13.5901028
0.0605014 3.9850063 18.7199703
0.0604497 5.7011804 17.3447070
0.0661236 45.6055090 20.1061080
0.0624296 26.3361718 19.6103765
0.0571123 12.9796019 2.5041977
0.0578459 11.9386300 5.4955051
0.0579443 11.9634215 5.6584301
0.0578025 11.8858442 5.6530571
0.0578557 11.8158151 5.5963451
0.0589225 13.8959687 8.1171931
0.0608712 13.9614425 11.2090029
0.0728778 12.5440520 30.9738569
0.0593937 32.9014095 6.7359076
0.0604336 32.6294019 18.4798442
0.0643974 37.7461921 26.0400027
0.0677207 37.7660659 29.6130722
0.0761827 33.7044644 36.0798482
0.0631193 20.5449119 12.2323895
0.0629497 15.5773379 23.1609081
0.0716028 14.3472933 31.1358255
0.0765169 20.3324904 39.3016656
0.0684737 4.7175553 8.7341355
0.0644374 5.1100432 11.0294677
0.0644811 2.3690967 14.3013169
0.0687751 0.7717335 13.5684573
0.0691443 0.9749262 12.7955662
0.0754571 4.5881843 32.5307444
0.0775203 1.4551234 30.2357513
0.0638448 37.3120474 0.8212059
0.0637509 39.5301595 8.7647255
0.0623339 39.5547700 13.2802690
0.0636470 39.1002881 13.7688100
0.0806158 37.6001138 33.7894423
0.0797430 42.2732795 37.5199632
0.0801203 42.1526827 37.5677845
0.0613375 24.2952106 10.4101233
0.0702571 24.1267268 23.6104061
0.0735132 23.1273699 33.9375311
0.0686268 11.1632651 14.3213697
0.0745705 7.8399873 30.2768933
0.0713769 31.2254964 5.1554176
0.0679790 31.3600067 8.2582985
0.0693833 31.8063625 7.7845130
0.0789689 33.3886248 29.5482595
0.0632932 14.7017088 0.2856593
0.0714344 14.2329592 20.0769556
0.0738364 16.3407329 26.5413025
0.0734276 18.6992002 25.2827227
0.0765376 15.1371610 26.6302307
0.0863558 0.5956336 28.8049519
0.0677082 36.9464510 2.0328163
0.0717541 36.3029659 11.0248006
0.0767847 35.8332336 16.5211122
0.0825548 21.8699118 30.6400623
0.0730890 9.9445351 3.5264523
0.0841807 1.0650399 12.4526733
0.0853139 11.1649247 0.7608286
0.0853109 11.1734850 0.7821824
0.0952958 15.2147295 26.0110239
0.0905434 2.9815456 5.3696486
0.0949507 0.6152902 19.0119271
0.0949517 0.1696750 23.0555244
0.0940400 3.1203552 21.5346482
0.0989483 2.2380603 27.5406636
0.0870233 16.2908892 10.6408772
0.0883787 15.9908578 11.0960508
0.0952704 18.6898948 24.5907513
0.0971163 18.2858570 25.4538180
0.0974283 5.6292298 21.3199175
0.0987055 8.4120496 25.5610017
0.0921490 23.3600659 7.3935051
0.0920216 24.6966641 7.8446034
0.0925528 13.8058786 10.6228291
0.0961027 14.0799309 24.2752701
0.0964138 0.6741576 0.5687409
0.1007633 0.1438554 10.8965865
0.0926175 25.6418100 6.5123382
0.0978724 15.9869915 24.6709387
0.1003619 8.0208523 3.0952587
0.0962289 8.3000234 6.9280971
0.1002571 7.8315467 15.4877961
0.1011713 5.4119660 13.3964015
0.0992167 4.5236470 14.4566428
0.1068819 5.6929068 26.0696751
0.0918549 20.1322723 5.8853489
0.0937179 21.3143647 12.3403929
0.0965247 19.9733291 13.4615075
0.0979662 23.3919585 18.0667454
0.0984748 18.9979938 17.6158526
0.0984546 18.9904687 17.5563874
0.1031270 23.7954349 24.8290558
0.0935752 10.9098390 0.2728509
0.0990098 11.5818401 6.4216258
0.1041608 11.6660620 22.3169599
0.1046426 12.9637995 25.2379280
0.0969621 24.6176128 3.7550527
0.1001783 23.1075209 12.2866969
0.0975361 24.6250958 15.6926483
0.0989427 25.3033756 17.5947343
0.0981418 16.6946243 6.7234704
0.1031053 15.0569630 14.3371337
0.1047655 13.9374985 14.8728822
0.1049003 13.9451404 14.9025161
0.1056250 13.8744020 18.1885454
0.1081959 13.4524399 23.7861372
0.1081593 13.4341936 23.8012463
0.1060393 4.0543067 3.0714612
0.1126539 7.3655865 18.1486429
0.1030093 17.5057357 3.6640666
0.1055091 12.2256034 1.5629341
0.1073626 8.8019558 1.5242125
0.1081111 11.5499078 16.3267863
0.1116189 3.0078409 4.8804227
0.1246207 1.9903502 23.0928042
0.1033925 24.9530131 2.2938172
0.1061652 24.5496277 2.5219696
0.1080452 21.8674872 8.4709077
0.1084720 23.3614599 10.3181278
0.1126782 21.9804044 23.5109046
0.1051341 14.7721329 8.2474277
0.1089421 13.4463171 9.2289159
0.1117013 12.7255968 11.7941824
0.1105324 13.2724825 13.2537312
0.1088845 14.9227214 15.6328901
0.1089189 14.9791479 15.6581412
0.1110352 16.1260825 18.8496459
0.1125491 15.9947265 18.1393254
0.1198246 13.9153206 23.9690896
0.1136090 7.3821240 5.3879983
0.1164193 7.5856024 19.2884051
0.1087460 17.3717654 11.8010269
0.1151680 11.2006381 3.2581550
0.1164483 8.5568986 15.0248250
0.1151372 7.9478788 14.7012738
0.1269835 0.3967364 20.5190290
0.1246640 1.7728661 22.9909575
0.1111314 22.1602635 0.6042108
0.1129476 19.9517024 0.9937065
0.1141002 19.7899800 6.8577311
0.1179992 22.5749269 22.3095019
0.1236058 22.6898286 22.8161860
0.1141804 11.8699625 11.7507028
0.1201800 7.0480918 6.4168711
0.1261431 3.7871099 15.9138269
0.1253928 6.5440336 14.8699425
0.1271975 4.7345633 16.4529676
0.1247814 4.7453930 20.7898546
0.1246931 7.0033446 21.5188038
0.1143490 18.0869016 3.1255678
0.1184620 15.9194780 10.0323821
0.1195785 17.0276499 12.1587790
0.1260336 16.7200626 20.5742090
0.1267585 17.1123425 21.4977608
0.1231884 10.1440687 3.1224322
0.1234785 10.5638419 13.3433180
0.1283489 10.4186428 22.3504252
0.1168620 22.3296173 4.8872434
0.1205255 18.7183759 4.0101498
0.1227774 21.2403393 20.0769228
0.1283596 20.6706463 19.1809551
0.1207313 12.4007462 5.8950118
0.1207264 12.3995026 5.8905094
0.1264830 13.8948577 6.1938442
0.1270304 11.1777083 12.1501829
0.1276317 10.7219302 13.3170061
0.1296237 12.2919452 17.0931469
0.1296097 12.2806266 17.0790596
0.1296541 12.2932926 17.1033843
0.1267708 11.9761408 21.7289885
0.1293548 11.8232709 20.7756929
0.1248201 16.5602849 6.7419650
0.1240768 16.7367948 8.0655848
0.1239803 17.8517999 7.6604131
0.1240281 17.7736866 7.6614860
0.1239906 17.7860644 7.6667467
0.1239425 17.7877764 7.6871205
0.1238836 17.8005171 8.3671653
0.1243180 17.9196863 8.2358491
0.1256602 15.5381944 8.7391559
0.1242385 17.1082314 13.3043606
0.1305541 16.2917232 20.7462556
0.1264959 19.9273091 4.4752362
0.1239612 19.4757355 6.1161911
0.1256008 19.0819856 6.9307577
0.1276160 19.7722018 9.4369780
0.1287776 19.5141796 9.8778918
0.1313386 19.6949375 13.5477260
0.1421345 12.1486580 6.5420467
0.1459493 10.4596187 12.7817494
0.1512295 10.3243038 17.9825534
0.1513048 10.3339523 17.9920124
0.1527331 4.4148244 11.0820454
0.1552654 5.1266714 13.5918636
0.1450002 13.7366336 10.5502293
0.1495713 13.2898461 12.8169342
0.1519660 12.0531322 12.0450648
0.1495775 7.4210345 2.0822550
0.1497775 7.7289628 2.0022374
0.1533302 8.5022370 2.2843414
0.1508741 7.8012778 13.3803674
0.1596491 7.2932285 17.0321753
0.1584475 8.0264987 16.9720621
0.1549799 1.1084905 0.6984464
0.1585229 0.6752614 1.9323707
0.1598551 0.4811402 1.6665569
0.1555128 0.3346763 5.5769475
0.1556500 1.8885987 9.3783681
0.1619575 1.8835282 12.8496053
0.1606633 2.1280836 16.3028680
0.1609875 1.5636310 17.6489920
0.1458594 16.9659793 0.1496413
0.1494721 16.9940810 1.3318817
0.1520964 16.9176978 7.5415158
0.1568241 3.6809432 1.1753401
0.1574446 3.9536831 4.6966817
0.1606514 4.7694990 10.6492793
0.1645390 3.8099280 14.9818797
0.1504286 13.8709496 1.1498941
0.1634378 6.6904991 10.0840524
0.1653788 6.3516008 12.5495772
0.1664048 1.1483212 12.4590823
0.1536771 15.4921503 0.9862857
0.1614410 10.7292972 2.1769277
0.1633236 9.1814760 6.6934161
0.1619216 10.2276003 7.4566583
0.1636075 10.1144974 10.7020039
0.1620499 9.0695140 14.9990154
0.1636876 4.1306517 6.2914907
0.1676363 12.0357720 13.1700486
0.1676074 12.0442719 13.1764302
0.1593927 14.5277353 0.8553963
0.1615635 15.1011169 3.6216640
0.1627688 13.7088980 3.4756637
0.1609518 15.2243340 9.7336437
0.1609115 15.1962215 9.7150864
0.1713114 14.4756265 14.9222723
0.1650375 9.9336318 0.1559649
0.1649764 9.9468758 0.1491863
0.1648569 10.0398433 4.9126036
0.1633826 9.4811801 3.4982960
0.1634068 9.4721410 3.5065253
0.1642597 10.0109498 5.2451973
0.1661301 12.0105807 4.5922020
0.1710051 15.2071716 11.5132221
0.1753323 14.4185710 15.9738269
0.1299695 2.9146417 5.7899852
0.1263413 6.0667045 5.5877896
0.1280795 5.4290333 9.2053184
0.1346190 4.9456645 19.8129309
0.1330768 11.3307911 10.8200404
0.1330520 11.3574547 10.8373640
0.1286696 11.0051964 13.0872329
0.1365391 12.6863734 19.1969632
0.1365262 12.6832391 19.2009009
0.1404361 3.6079989 16.8549069
0.1385763 6.5948985 18.8485987
0.1290222 16.7875907 4.5406236
0.1346898 16.8935685 15.4884222
0.1423221 0.4169237 8.5381684
0.1496771 2.9124282 17.3167044
0.1319051 18.2883918 6.8579012
0.1380789 17.4052171 9.6311616
0.1352047 17.2890380 14.1915291
0.1356289 17.8078614 14.0673784
0.1368557 12.2580814 0.9358736
0.1351770 10.0908100 2.3545235
0.1449417 4.4741744 1.9838482
0.1458753 4.7505689 7.6565852
0.1481903 3.7464374 16.9300637
0.1405711 13.4567406 2.3045166
0.1403207 14.8863181 2.6477127
0.1400634 14.3034053 10.4208826
0.1419397 14.2007301 12.7511108
0.1428426 15.3510856 13.7449749
0.1448779 13.8351962 12.9260904
0.1461805 15.4102024 13.3475632
0.1461145 13.1586731 14.9346473
0.1461251 13.1472110 14.8991470
0.1457274 15.0664355 19.1874742
0.1490881 8.2929464 11.3609234
0.1490036 7.8895565 12.8991018
0.1563266 1.0707785 14.6192773
0.1563156 1.0586517 14.6049337
0.1385590 17.0039185 4.0055651
0.1416359 16.5306469 7.1589742
0.1457293 17.9952897 8.4038194
0.1425592 17.3321941 12.8818193
0.0035326 85.8232254 4.1316347
0.0079094 18.9467486 27.4807041
0.0096300 61.7001830 45.5642640
0.0118291 84.9642548 76.0560707
0.0117438 74.4809757 71.9345064
0.0150462 69.8726921 77.0894101
0.0108576 16.9589063 63.4217681
0.0157148 22.4245631 67.5924631
0.0119265 77.8804963 60.7849008
0.0205223 2.4054080 83.1971157
0.0192833 37.6168037 77.4073584
0.0183644 65.6243767 63.4669335
0.0182078 76.0797027 64.6771458
0.0190937 71.9282253 69.9424217
0.0181038 24.8135031 77.5526291
0.0172671 14.5371871 63.7873639
0.0223140 13.8885099 75.2721739
0.0188326 56.7108608 65.4385791
0.0185198 63.9369785 64.5907570
0.0388831 62.6213961 85.9996523
0.0394056 41.9118207 84.8140061
0.0413987 46.7045887 85.9093538
0.0395176 61.7144297 78.4583702
0.0427108 71.4200135 86.3990976
0.0462555 68.7318571 81.7920288
0.0438705 15.8507215 80.2518509
0.0483880 3.9609184 82.8970368
0.0089380 80.3437407 8.3215972
0.0115678 80.5959233 7.4931788
0.0107825 78.2363905 1.9697517
0.0121599 73.4225515 10.9878138
0.0156407 72.3895003 6.3513620
0.0078468 84.7109360 10.7417906
0.0169975 86.7510699 53.3183582
0.0187084 61.1852417 47.7500925
0.0172908 84.7512877 34.5973039
0.0200918 60.0905904 43.5851960
0.0177675 74.0027012 61.7058132
0.0203925 82.8078174 66.9291528
0.0207640 82.2182641 63.8646287
0.0209332 80.3813771 50.4247888
0.0227762 84.2979710 54.5084574
0.0222813 86.5685239 49.5112596
0.0221121 85.2221379 49.6345126
0.0225738 75.5793121 60.5261368
0.0272452 87.4886531 56.3878482
0.0218139 58.2675557 55.5952812
0.0215154 62.0063011 55.0577218
0.0217238 53.3767486 55.2898786
0.0272842 64.5491487 53.5518948
0.0173579 73.4994453 62.6527791
0.0179007 76.8794362 59.4038893
0.0197636 66.3893835 50.6313404
0.0265916 85.3853607 67.1395291
0.0270569 86.4787297 66.6745848
0.0319290 71.5076807 70.2882853
0.0253994 54.2178898 67.3194477
0.0271444 62.3454561 64.1920395
0.0288546 88.2551509 59.9377891
0.0283201 77.3769168 57.6260482
0.0320009 86.3015202 68.2052157
0.0326425 72.2633732 61.6433948
0.0392491 63.9918309 72.8490132
0.0430667 79.6582398 70.6887009
0.0232552 82.3512347 12.4171264
0.0232734 81.2887963 11.9507829
0.0235681 80.3690513 10.2265452
0.0234015 81.1116360 14.9065648
0.0171005 73.3635933 2.7554936
0.0179182 68.4456516 9.8939307
0.0210139 71.0393217 11.4907896
0.0223980 72.2624940 18.3740916
0.0241198 74.4075705 16.2961945
0.0191913 72.8379794 24.3612859
0.0194282 71.4891202 31.6115062
0.0214905 74.2770267 26.4513036
0.0225433 75.3397308 27.8846549
0.0246664 71.6284822 37.3157135
0.0243144 74.7648172 43.2745475
0.0275840 71.6369335 51.7188275
0.0294313 68.9689412 46.7064049
0.0248425 89.6678568 38.1141274
0.0342823 81.1006273 55.5216201
0.0370567 88.1591408 52.7377101
0.0285815 77.3359919 56.2323746
0.0295589 77.4178398 55.9958496
0.0298186 76.2492277 55.6930116
0.0359296 87.3996431 59.8207775
0.0386518 77.5825715 59.8592577
0.0418883 72.7105849 61.9692026
0.0400448 70.1112313 59.4781599
0.0404251 68.8515162 59.5383335
0.0432786 76.6541591 59.2451859
0.0428181 80.0243487 64.4564444
0.0434040 79.4211872 62.6489636
0.0454471 80.8242858 62.9095379
0.0437161 77.9172501 61.1254937
0.0513025 83.8658589 72.3086177
0.0506853 78.4499889 64.8901192
0.0097200 8.7761646 18.4217993
0.0125608 10.9386547 7.3452354
0.0122319 2.1994292 19.0270550
0.0136759 32.6341789 15.0759290
0.0137439 30.4757217 17.1315451
0.0119254 32.0429094 30.8726719
0.0171138 26.2204295 12.8572462
0.0173695 12.8913975 41.4323323
0.0187077 10.3658260 35.9928807
0.0190560 18.0472114 39.1854962
0.0198218 23.5351161 34.7343761
0.0156604 16.3852089 29.0207284
0.0238866 28.1698249 62.7048680
0.0243926 5.2795413 51.1548185
0.0232264 13.8514015 52.3055450
0.0245456 4.0709307 53.7501373
0.0247191 2.2384689 52.3932667
0.0265302 18.1825734 56.3261244
0.0328844 27.2964840 67.4817610
0.0331026 34.0585377 72.1561327
0.0364590 36.4780214 69.6889733
0.0354133 5.7051818 64.6367035
0.0410984 13.6329247 67.7784067
0.0421550 8.8959838 73.6786802
0.0465104 19.4731937 79.1682933
0.0473011 14.7679998 79.0303791
0.0485440 22.6485979 76.0873553
0.0506230 14.5089202 74.8597657
0.0312488 77.4296606 0.9947175
0.0304971 76.3150790 3.1178423
0.0277994 82.2933006 13.9297395
0.0271007 79.7239130 14.3462533
0.0271729 73.5445572 23.8463566
0.0289749 76.3660912 24.1499996
0.0298381 76.5294641 24.4315212
0.0303868 76.9829724 26.8201391
0.0316203 88.5311238 18.2689222
0.0289778 79.2019795 17.0860902
0.0299673 75.0232809 31.5878154
0.0359846 86.2219584 36.2631906
0.0354086 80.5780127 34.3240419
0.0407611 80.1016844 41.6712589
0.0412499 76.3606377 44.5459518
0.0426101 84.4651623 53.6965289
0.0436526 78.7135684 47.1533435
0.0483026 87.4967287 59.5461098
0.0487592 81.3687330 59.8249488
0.0491638 79.9132773 59.1296354
0.0496594 77.6709049 60.2608034
0.0533903 82.1543481 57.7601031
0.0521887 85.7301764 62.9624818
0.0550597 86.4167344 59.3073275
0.0150411 46.3517695 4.8612245
0.0142899 49.8500760 26.2880625
0.0170884 35.1211435 20.1107916
0.0175960 50.8251759 3.4372610
0.0172398 62.3165878 13.1778804
0.0181515 60.9422207 17.3041487
0.0177047 56.0622664 20.7035819
0.0211139 49.5584309 20.7376646
0.0149684 43.1695600 33.3272343
0.0193274 47.0592432 31.4034019
0.0202989 46.5268145 32.7703134
0.0198855 46.0480287 33.6915364
0.0203471 46.4756519 34.0893568
0.0190598 49.1061112 43.1164402
0.0197227 50.3397432 41.4346457
0.0203859 46.1281890 35.5508260
0.0204264 46.2575001 34.7756789
0.0219122 46.9421848 21.2153506
0.0237296 44.4205647 27.5848901
0.0258774 42.8443163 51.2416362
0.0278096 49.2785674 48.0088361
0.0286931 48.7751636 51.1757758
0.0287487 49.6590746 51.6957936
0.0253617 32.4937639 51.3006270
0.0257265 46.2075123 40.7973830
0.0287990 44.9161645 49.5335182
0.0319487 36.3599999 64.3862506
0.0296462 57.7714643 58.3906427
0.0297226 31.0599643 53.7942758
0.0298158 38.6426482 50.9298502
0.0306213 40.1148925 54.9592914
0.0334259 30.5072871 59.1425696
0.0284542 37.9461914 53.7258308
0.0392112 51.6205473 68.4901265
0.0355493 47.4135979 62.3698668
0.0371987 51.4211622 63.1385531
0.0412005 51.0916375 67.2116819
0.0410851 50.2950813 63.5419154
0.0409654 46.1086234 61.0309075
0.0412196 46.6268163 61.2618539
0.0413467 45.1159862 60.7193226
0.0429231 53.3825224 71.6976322
0.0415328 49.0227209 69.3948812
0.0495953 41.0187614 75.8109090
0.0485208 0.2258144 73.3007460
0.0290449 74.9350813 0.1112287
0.0375644 88.6548994 3.2183468
0.0373853 89.4447489 4.1899076
0.0375661 89.0073447 3.5689724
0.0328558 83.4365553 12.0214907
0.0330104 80.7980347 6.0479993
0.0329915 80.4483223 4.0452576
0.0338834 80.9229260 6.1817960
0.0330731 81.6244821 8.3709961
0.0339836 81.9656860 12.7923491
0.0312115 83.8156988 10.2289469
0.0337201 86.7202810 13.9718839
0.0336511 89.2477259 20.4311114
0.0348804 89.0011600 22.3393585
0.0369216 79.7014119 17.2944141
0.0360287 87.1723324 27.3353927
0.0361683 86.8992049 27.9279068
0.0363764 86.3100335 28.3629327
0.0417571 83.8155741 27.4233936
0.0388071 89.4473115 35.0719620
0.0411302 88.4360511 35.9607143
0.0412002 87.9195499 35.8330253
0.0418230 84.0470771 36.3069594
0.0436712 86.5874105 38.3162165
0.0429558 89.1000324 43.5637105
0.0449821 85.2980457 37.9724524
0.0448164 83.7802232 37.8947416
0.0458672 89.7141815 38.1436101
0.0467535 88.7927677 39.7881643
0.0474689 88.2156842 37.9143882
0.0465065 87.1682197 37.9657890
0.0488048 87.0331384 38.5127558
0.0409521 80.0649608 37.2972466
0.0435162 82.0712731 38.7015276
0.0432678 82.6190421 37.2852341
0.0420447 78.2936605 37.8129703
0.0427960 77.5108842 38.5644979
0.0450947 81.7754217 40.2832489
0.0452819 81.3187236 40.6096207
0.0438982 77.7900073 41.3196077
0.0453079 83.5387928 34.0233774
0.0450801 82.2268029 37.0710886
0.0469973 77.4916848 46.3760941
0.0479040 77.4153284 45.9645410
0.0455321 86.4121933 47.8272803
0.0551084 85.5913300 52.1082449
0.0576684 84.2489926 50.5786829
0.0563661 81.9294580 53.2403946
0.0559335 79.8511537 54.6600168
0.0546624 77.2307971 53.5807680
0.0567342 88.0126083 55.6277072
